Name,Type,Latitude,Longitude,Location,Wikipedia link,Picture link,Year Built
Great Pyramid of Giza,Ancient,29.97916667,31.13416667,"Giza Necropolis, Egypt",http://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kheops-Pyramid.jpg/300px-Kheops-Pyramid.jpg,2560 BC
Stonehenge,Medieval,51.17861111,-1.826111111,"Amesbury, United Kingdom",http://en.wikipedia.org/wiki/Stonehenge,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Stonehenge%2C_Condado_de_Wiltshire%2C_Inglaterra%2C_2014-08-12%2C_DD_09.JPG/285px-Stonehenge%2C_Condado_de_Wiltshire%2C_Inglaterra%2C_2014-08-12%2C_DD_09.JPG,2400 BC
Lighthouse of Alexandria,Ancient,31.21388889,29.88555556," Alexandria, Egypt",http://en.wikipedia.org/wiki/Lighthouse_of_Alexandria,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Lighthouse_-_Thiersch.gif/220px-Lighthouse_-_Thiersch.gif,280 BC
Hanging Gardens of Babylon,Ancient,33.5355,44.2475,Iraq,http://en.wikipedia.org/wiki/Hanging_Gardens_of_Babylon,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Hanging_Gardens_of_Babylon.jpg/350px-Hanging_Gardens_of_Babylon.jpg,600 BC
Hagia Sophia,Medieval,41.008548,28.979938,"Istanbul, Turkey",http://en.wikipedia.org/wiki/Hagia_Sophia,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/250px-Hagia_Sophia_Mars_2013.jpg,537 AD
Colossus of Rhodes,Ancient,36.4511,28.2278,Greece,http://en.wikipedia.org/wiki/Colossus_of_Rhodes,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Colosse_de_Rhodes_%28Barclay%29.jpg/170px-Colosse_de_Rhodes_%28Barclay%29.jpg,292 BC
Mausoleum at Halicarnassus,Ancient,37.03777778,27.42416667,"Bodrum, Turkey",http://en.wikipedia.org/wiki/Mausoleum_at_Halicarnassus,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Mausoleum_of_Halicarnassus_2009.jpg/240px-Mausoleum_of_Halicarnassus_2009.jpg, 353 BC
Statue of Zeus at Olympia,Ancient,37.63777778,21.63,Greece,http://en.wikipedia.org/wiki/Statue_of_Zeus_at_Olympia,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Statue_of_Zeus.jpg/220px-Statue_of_Zeus.jpg, 466 BC
Temple of Artemis at Ephesus,Ancient,37.94972222,27.36388889,Turkey,http://en.wikipedia.org/wiki/Temple_of_Artemis,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Miniaturk_009.jpg/300px-Miniaturk_009.jpg, 550 BCE
Golden Gate Bridge,Civil,37.81972222,-122.4786111,"San Francisco,  United States",http://en.wikipedia.org/wiki/Golden_Gate_Bridge,http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Golden_Gate_Bridge_0002.jpg/270px-Golden_Gate_Bridge_0002.jpg,1933 AD
CN Tower,Civil,43.6425,-78.61305556,"Toronto, Canada.",http://en.wikipedia.org/wiki/CN_Tower,http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toronto_-_ON_-_Toronto_Harbourfront7.jpg/240px-Toronto_-_ON_-_Toronto_Harbourfront7.jpg,1973 AD
Channel Tunnel,Civil,51.0125,1.5041,English Channel,http://en.wikipedia.org/wiki/Channel_Tunnel,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Channel_Tunnel_NRM.jpg/220px-Channel_Tunnel_NRM.jpg,1988 AD
